"","d1","d2","d3","d4","d5","r1","r2","r3","r4","r5","r6","s1","s2","s3","s4","s5","s6","average"
"39","2018 -19",8,1,69,30,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0.333333333333333
"40","2018 -19",8,3,49.2,19.58,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0.666666666666667
"41","2018 -19",8,4,50,22.82,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.333333333333333
"42","2018 -19",8,4,5.2,22.39,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0.333333333333333
"43","2018 -19",8,4,40,60,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.833333333333333
"44","2018 -19",8,4,6.2,5.07,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0.5
"45","2018 -19",7,3,60,15.07,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.166666666666667
"46","2018 -19",8,4,50,39.58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0.666666666666667
"47","2018 -19",8,4,30,40,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0.5
"48","2018 -19",8,4,54.2,15.49,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0.666666666666667
"49","2018 -19",8,4,45.1,30.14,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0.666666666666667
"50","2017-18",8,4,40,39.86,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.666666666666667
"51","2018 -19",8,4,60,24.08,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.666666666666667
"52","2018 -19",8,4,41.7,8.85,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.833333333333333
"53","2016-17",8,4,43,5.07,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.833333333333333
"54","2017-18",8,4,49,25.48,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.666666666666667
"55","2017-18",8,4,53.9,53.58,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0.5
